"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
10,151.22,130.57,14.71,921,1.4,0.921,999,4442,36.27
3,56.1,56.52,7.52,462,-0.06,0.462,999,4443,4.19
5,87.47,80.54,10.49,747,0.66,0.747,999,4444,17.54
1,25.76,25.76,0,12.5,-1.75,0.0125,999,4445,-8.14
0,0,0,0,500.5,NA,0.5005,999,4447,-24.89
0,0,0,0,500.5,NA,0.5005,999,4449,-24.89
2,43.16,42.15,5.54,531.5,0.18,0.5315,999,4451,0.26
2,51.52,42.1,5.54,961,1.7,0.961,999,4456,8.61
3,55.68,56.1,7.65,464,-0.05,0.464,999,4457,3.77
5,54.19,81.69,10.39,5,-2.65,0.005,999,4478,-15.73
3,48.22,56.65,7.62,130,-1.11,0.13,999,4479,-3.69
1,25.76,25.76,0,280,-0.56,0.28,999,4480,-8.14
11,146.49,140.38,15.06,660,0.41,0.66,999,4481,22.53
5,93.46,81.04,10.81,866,1.15,0.866,999,4482,23.54
12,149.85,147.97,14.76,549,0.13,0.549,999,4483,16.88
5,91.84,81.08,10.25,840,1.05,0.84,999,4484,21.91
2,43.16,42.19,5.57,572,0.17,0.572,999,4485,0.26
2,36.62,41.89,5.58,143,-0.94,0.143,999,4486,-6.28
5,74.6,80.86,10.63,284,-0.59,0.284,999,4487,4.68
2,51.52,41.93,5.95,969,1.61,0.969,999,4495,8.61
7,78.82,102.63,12.63,34,-1.89,0.034,999,4521,-9.11
6,98.7,91.99,11.45,719,0.59,0.719,999,4522,19.77
9,126.82,122.07,13.89,623,0.34,0.623,999,4523,20.87
7,92.46,102.2,12.38,222,-0.79,0.222,999,4524,4.52
4,76.01,69.13,9.41,740,0.73,0.74,999,4525,15.09
11,156.34,139.16,14.67,886,1.17,0.886,999,4526,32.38
6,92.21,91.25,11.38,533,0.08,0.533,999,4527,13.28
3,49.9,56.09,7.74,205,-0.8,0.205,999,4528,-2.01
7,96.58,101.65,12.31,344,-0.41,0.344,999,4529,8.64
3,52.56,56.06,7.9,376,-0.44,0.376,999,4530,0.65
7,101.84,102.12,12.48,477,-0.02,0.477,999,4531,13.9
2,51.52,42.34,5.55,971,1.65,0.971,999,4533,8.61
1,25.76,25.76,0,193.5,-0.74,0.1935,999,4537,-8.14
1,25.76,25.76,0,746,0.62,0.746,999,4540,-8.14
7,67.24,102.12,12.64,4,-2.76,0.004,999,4563,-20.7
9,101.47,121.83,13.91,73,-1.46,0.073,999,4564,-4.48
4,58.97,69.15,9.06,130,-1.12,0.13,999,4565,-1.95
3,48.37,56.27,7.73,158,-1.02,0.158,999,4566,-3.54
1,25.76,25.76,0,862,1.06,0.862,999,4567,-8.14
12,165.1,148.93,15.42,843,1.05,0.843,999,4568,32.13
9,121.54,121.71,13.29,490,-0.01,0.49,999,4569,15.59
3,52.03,56.3,7.28,266,-0.59,0.266,999,4571,0.12
8,105.01,111.93,12.36,299,-0.56,0.299,999,4572,8.07
1,25.76,25.76,0,947,1.75,0.947,999,4573,-8.14
1,25.76,25.76,0,947,1.69,0.947,999,4575,-8.14
3,52.18,56.1,8.06,281,-0.49,0.281,999,4578,0.27
2,30.69,42.34,5.64,47,-2.07,0.047,999,4579,-12.21
6,89.2,91.16,11.27,427,-0.17,0.427,999,4580,10.27
1,25.76,25.76,0,109.5,-1.09,0.1095,999,4583,-8.14
8,69.18,112.08,13.38,1,-3.21,0.001,999,4604,-27.77
5,51.68,80.13,10.67,6,-2.67,0.006,999,4605,-18.24
12,94.73,148.72,15.72,2,-3.44,0.002,999,4606,-38.24
9,93.9,122.33,14.06,28,-2.02,0.028,999,4607,-12.05
1,25.76,25.76,0,855.5,0.94,0.8555,999,4608,-8.14
2,39.93,42.14,5.6,270,-0.4,0.27,999,4609,-2.97
10,142.99,130.92,15.45,769,0.78,0.769,999,4610,28.04
8,131.97,112.25,13.33,927,1.48,0.927,999,4611,35.03
2,40.44,42.14,5.72,317,-0.3,0.317,999,4612,-2.46
0,0,0,0,500.5,NA,0.5005,999,4613,-24.89
18,194.08,194.41,16.85,486,-0.02,0.486,999,4614,7.07
2,40.44,41.91,5.8,448,-0.25,0.448,999,4615,-2.46
1,25.76,25.76,0,12.5,-1.75,0.0125,999,4617,-8.14
8,104.4,111.7,12.78,303,-0.57,0.303,999,4622,7.46
1,25.76,25.76,0,920.5,1.54,0.9205,999,4624,-8.14
2,51.52,42.23,5.45,957,1.7,0.957,999,4626,8.61
3,48.37,56.36,7.38,157,-1.08,0.157,999,4646,-3.54
9,77.97,121.35,14.38,3,-3.02,0.003,999,4648,-27.98
2,33.68,41.9,5.66,111,-1.45,0.111,999,4649,-9.22
8,115.98,112.25,13.06,608,0.29,0.608,999,4650,19.04
4,48.78,69.09,9.3,14,-2.18,0.014,999,4651,-12.14
2,33.68,41.98,5.96,116,-1.39,0.116,999,4652,-9.22
0,0,0,0,500.5,NA,0.5005,999,4653,-24.89
12,153.39,147.97,15.58,622,0.35,0.622,999,4654,20.42
3,52.62,56.11,8.04,381,-0.43,0.381,999,4655,0.71
5,72.72,80.38,10.14,223,-0.75,0.223,999,4657,2.8
3,56.63,56.02,7.75,517,0.08,0.517,999,4658,4.72
2,40.44,42.07,5.49,269,-0.3,0.269,999,4659,-2.46
0,0,0,0,500.5,NA,0.5005,999,4660,-24.89
2,51.52,41.98,5.8,977,1.64,0.977,999,4662,8.61
3,70.27,56.33,7.65,973,1.82,0.973,999,4664,18.36
0,0,0,0,500.5,NA,0.5005,999,4665,-24.89
2,51.52,41.96,5.63,958,1.7,0.958,999,4667,8.61
1,25.76,25.76,0,12.5,-1.75,0.0125,999,4668,-8.14
2,51.52,42.1,5.54,961,1.7,0.961,999,4669,8.61
1,25.76,25.76,0,438.5,-0.26,0.4385,999,4688,-8.14
12,94.73,148.77,15.82,1,-3.42,0.001,999,4691,-38.24
9,106,122.17,13.95,133,-1.16,0.133,999,4692,0.05
2,40.44,41.84,5.78,446.5,-0.24,0.4465,999,4693,-2.46
2,32.97,42.06,5.59,61,-1.63,0.061,999,4694,-9.93
3,61.91,56.06,7.7,726,0.76,0.726,999,4695,10
6,85.58,91.47,11.56,288,-0.51,0.288,999,4696,6.65
10,122.05,130.21,14.24,283,-0.57,0.283,999,4697,7.1
3,59.2,55.84,7.94,620,0.42,0.62,999,4698,7.29
2,44.51,42.09,5.89,624.5,0.41,0.6245,999,4699,1.61
3,54.03,56.24,7.6,415,-0.29,0.415,999,4700,2.12
1,25.76,25.76,0,12.5,-1.75,0.0125,999,4702,-8.14
3,73.92,55.74,7.77,1000,2.34,1,999,4703,22.01
1,25.76,25.76,0,746,0.62,0.746,999,4705,-8.14
2,44.51,41.94,5.79,610,0.44,0.61,999,4706,1.61
0,0,0,0,500.5,NA,0.5005,999,4708,-24.89
4,71.13,68.71,9.44,608,0.26,0.608,999,4711,10.22
3,48.33,56.24,7.91,151,-1,0.151,999,4732,-3.58
10,87.68,130.74,15.11,4,-2.85,0.004,999,4733,-27.28
3,41.26,55.8,8.11,47,-1.79,0.047,999,4734,-10.65
5,84.48,80.96,10.65,621,0.33,0.621,999,4735,14.56
8,105.7,111.99,12.68,296,-0.5,0.296,999,4736,8.75
5,72.77,80.17,10.7,240,-0.69,0.24,999,4737,2.84
5,72.33,80.49,10.59,221,-0.77,0.221,999,4738,2.4
14,166.1,163.18,16.02,577,0.18,0.577,999,4739,15.12
3,59.2,55.99,7.86,636,0.41,0.636,999,4740,7.29
7,91.57,102.21,12.4,189,-0.86,0.189,999,4741,3.64
3,44.94,56.04,7.78,97,-1.43,0.097,999,4742,-6.97
0,0,0,0,500.5,NA,0.5005,999,4743,-24.89
0,0,0,0,500.5,NA,0.5005,999,4744,-24.89
3,49.9,56.42,7.97,191,-0.82,0.191,999,4745,-2.01
7,101.11,101.46,12.32,491,-0.03,0.491,999,4749,13.17
2,51.52,42.42,5.73,977,1.59,0.977,999,4750,8.61
1,25.76,25.76,0,746,0.62,0.746,999,4751,-8.14
1,25.76,25.76,0,114,-1.05,0.114,999,4753,-8.14
7,67.8,101.56,12.37,4,-2.73,0.004,999,4775,-20.13
20,139.62,209.42,18.14,1,-3.85,0.001,999,4776,-65.4
5,71.95,80.73,10.23,194,-0.86,0.194,999,4777,2.03
7,86.8,102.52,12.3,110,-1.28,0.11,999,4778,-1.13
4,61.89,68.76,9.25,235,-0.74,0.235,999,4779,0.97
4,51.02,68.74,9.37,26,-1.89,0.026,999,4780,-9.9
2,40.44,42.08,5.63,436,-0.29,0.436,999,4781,-2.46
5,69.49,80,10.86,172,-0.97,0.172,999,4782,-0.44
2,28.89,42.07,5.72,11,-2.3,0.011,999,4783,-14.01
1,25.76,25.76,0,66,-1.41,0.066,999,4784,-8.14
3,44.61,55.78,7.93,81,-1.41,0.081,999,4792,-7.3
2,26.42,42.16,5.89,4,-2.67,0.004,999,4794,-16.49
2,51.52,42.23,5.45,957,1.7,0.957,999,4795,8.61
3,56.45,56.21,7.84,501,0.03,0.501,999,4796,4.54
7,72.14,101.91,12.67,8,-2.35,0.008,999,4817,-15.79
11,76.9,139.65,15.24,1,-4.12,0.001,999,4818,-47.06
4,55.94,68.88,9.28,89,-1.39,0.089,999,4819,-4.97
7,86.79,102.94,12.64,98,-1.28,0.098,999,4820,-1.14
7,88.64,102.14,12.09,135,-1.12,0.135,999,4821,0.7
2,44.51,41.8,5.74,721,0.47,0.721,999,4822,1.61
5,88.72,80.25,10.72,786,0.79,0.786,999,4823,18.79
4,57.37,68.89,9.59,129,-1.2,0.129,999,4824,-3.55
8,87.54,111.51,13.45,41,-1.78,0.041,999,4825,-9.4
5,72.88,80.27,10.72,239,-0.69,0.239,999,4826,2.95
1,25.76,25.76,0,746,0.62,0.746,999,4839,-8.14
5,57.69,80.2,10.52,11,-2.14,0.011,999,4860,-12.24
11,105.33,139.62,14.58,10,-2.35,0.01,999,4861,-18.63
4,59.65,68.29,9.21,182,-0.94,0.182,999,4862,-1.27
7,89.79,101.85,12.52,164,-0.96,0.164,999,4863,1.86
6,76.71,91.4,11.66,106,-1.26,0.106,999,4864,-2.22
4,64.61,69.07,9.38,337,-0.48,0.337,999,4865,3.69
1,25.76,25.76,0,66,-1.41,0.066,999,4866,-8.14
2,40.44,42.16,5.34,343,-0.32,0.343,999,4867,-2.46
9,105.39,121.46,14.28,132,-1.12,0.132,999,4868,-0.56
1,25.76,25.76,0,181,-0.88,0.181,999,4869,-8.14
7,101.8,102.27,12.42,477,-0.04,0.477,999,4872,13.87
3,52.18,56.1,8.06,281,-0.49,0.281,999,4875,0.27
9,108.84,120.79,13.44,195,-0.89,0.195,999,4876,2.89
2,30.69,42.12,5.77,57,-1.98,0.057,999,4878,-12.21
3,56.45,56.2,7.66,500,0.03,0.5,999,4880,4.54
4,60.61,68.93,9.23,206,-0.9,0.206,999,4881,-0.3
9,81.26,121.84,13.8,5,-2.94,0.005,999,4902,-24.69
9,81.14,121.93,13.9,2,-2.93,0.002,999,4903,-24.81
5,63.47,80.71,11.14,62,-1.55,0.062,999,4904,-6.46
7,80.9,102.1,12.41,50,-1.71,0.05,999,4905,-7.04
7,77.82,101.66,12.78,28,-1.87,0.028,999,4906,-10.12
8,101.33,112.08,12.78,203,-0.84,0.203,999,4907,4.39
2,33.68,42.02,5.54,111,-1.51,0.111,999,4908,-9.22
3,52.56,56.01,7.9,376,-0.44,0.376,999,4909,0.65
5,52.57,79.89,10.71,8,-2.55,0.008,999,4910,-17.36
2,37.67,42.05,5.46,192,-0.8,0.192,999,4911,-5.23
9,115.65,120.7,13.58,355,-0.37,0.355,999,4912,9.7
0,0,0,0,500.5,NA,0.5005,999,4915,-24.89
0,0,0,0,500.5,NA,0.5005,999,4918,-24.89
4,77.79,68.63,9.46,826,0.97,0.826,999,4919,16.87
6,79.64,91.63,11.64,147,-1.03,0.147,999,4920,0.71
4,60.61,68.93,9.23,206,-0.9,0.206,999,4923,-0.3
8,65.99,112.44,13.36,1,-3.48,0.001,999,4945,-30.96
9,84.67,121.44,13.93,7,-2.64,0.007,999,4946,-21.28
8,79.64,111.31,12.99,6,-2.44,0.006,999,4947,-17.3
11,87.36,139.5,14.39,1,-3.62,0.001,999,4948,-36.6
6,61.77,91.12,11.24,9,-2.61,0.009,999,4949,-17.16
1,25.76,25.76,0,962,2.35,0.962,999,4950,-8.14
2,40.44,42.04,5.81,304.5,-0.27,0.3045,999,4951,-2.46
2,40.44,42.13,5.73,324,-0.29,0.324,999,4952,-2.46
5,65.35,80.01,10.63,91,-1.38,0.091,999,4953,-4.57
12,135.6,147.02,15.13,209,-0.75,0.209,999,4954,2.64
4,63.22,68.68,9.47,279,-0.58,0.279,999,4955,2.31
1,25.76,25.76,0,497,-0.11,0.497,999,4956,-8.14
4,63.76,68.52,9.37,323,-0.51,0.323,999,4961,2.85
1,25.76,25.76,0,920.5,1.54,0.9205,999,4964,-8.14
1,25.76,25.76,0,920.5,1.54,0.9205,999,4965,-8.14
4,73.08,69.05,9.08,674,0.44,0.674,999,4966,12.17
13,102.38,156.59,15.6,2,-3.48,0.002,999,4988,-39.6
14,125.37,164.53,16.04,9,-2.44,0.009,999,4989,-25.61
7,84.11,101.53,12.61,85,-1.38,0.085,999,4990,-3.83
10,95.21,130.48,14.18,6,-2.49,0.006,999,4991,-19.75
8,106.04,112.37,13.39,315,-0.47,0.315,999,4992,9.1
2,44.51,41.94,5.79,610,0.44,0.61,999,4993,1.61
5,71.61,80.47,10.83,214,-0.82,0.214,999,4994,1.68
1,25.76,25.76,0,850.5,0.97,0.8505,999,4995,-8.14
6,78.47,91.02,11.15,129,-1.12,0.129,999,4996,-0.46
5,74.81,80.81,11.05,286,-0.54,0.286,999,4998,4.89
1,25.76,25.76,0,193.5,-0.74,0.1935,999,4999,-8.14
2,51.52,42.34,5.55,971,1.65,0.971,999,5002,8.61
4,69.58,68.72,9.28,512,0.09,0.512,999,5004,8.66
3,56.45,56.27,7.79,505,0.02,0.505,999,5005,4.54
1,25.76,25.76,0,746,0.62,0.746,999,5006,-8.14
2,51.52,42.34,5.55,971,1.65,0.971,999,5007,8.61
2,51.52,42.1,5.54,961,1.7,0.961,999,5008,8.61
1,25.76,25.76,0,962,2.35,0.962,999,5030,-8.14
22,160.01,222.99,18.35,1,-3.43,0.001,999,5031,-63.03
5,58.12,80.25,10.49,22,-2.11,0.022,999,5032,-11.8
4,59.67,68.73,9.3,162,-0.97,0.162,999,5033,-1.25
15,143.61,172.92,16.28,34,-1.8,0.034,999,5034,-16.38
5,71.62,80.85,10.36,180,-0.89,0.18,999,5035,1.69
1,25.76,25.76,0,855.5,0.94,0.8555,999,5036,-8.14
5,81.97,80.49,10.44,541,0.14,0.541,999,5037,12.05
0,0,0,0,500.5,NA,0.5005,999,5038,-24.89
3,54.16,55.93,7.86,406,-0.22,0.406,999,5039,2.25
1,25.76,25.76,0,167.5,-0.85,0.1675,999,5042,-8.14
1,25.76,25.76,0,850.5,0.97,0.8505,999,5043,-8.14
2,51.52,41.98,5.8,977,1.64,0.977,999,5046,8.61
5,88.54,80.17,10.46,780,0.8,0.78,999,5048,18.61
2,51.52,42.08,5.55,962,1.7,0.962,999,5049,8.61
3,47.05,55.94,7.6,118,-1.17,0.118,999,5073,-4.86
14,109.65,164.47,15.6,1,-3.51,0.001,999,5074,-41.34
6,59.56,91.23,11.75,4,-2.7,0.004,999,5075,-19.37
19,159.33,202.11,17.51,6,-2.44,0.006,999,5076,-36.69
8,99.25,111.93,12.96,152,-0.98,0.152,999,5077,2.3
2,44.51,42.36,5.6,665,0.38,0.665,999,5079,1.61
3,56.1,55.84,7.71,508,0.03,0.508,999,5080,4.19
1,25.76,25.76,0,511,-0.13,0.511,999,5081,-8.14
0,0,0,0,500.5,NA,0.5005,999,5082,-24.89
0,0,0,0,500.5,NA,0.5005,999,5084,-24.89
1,25.76,25.76,0,168.5,-0.86,0.1685,999,5085,-8.14
3,44.98,56.52,7.75,87,-1.49,0.087,999,5086,-6.93
8,126.52,111.82,12.76,869,1.15,0.869,999,5087,29.57
14,130.62,165.22,16.33,20,-2.12,0.02,999,5116,-20.36
14,110.23,164.31,16.32,1,-3.31,0.001,999,5117,-40.75
5,71.24,80.58,10.38,196,-0.9,0.196,999,5118,1.31
20,169.29,209.47,17.48,9,-2.3,0.009,999,5119,-35.73
2,36.4,42.09,5.77,140,-0.99,0.14,999,5120,-6.5
2,37.35,41.83,5.69,184,-0.79,0.184,999,5121,-5.56
1,25.76,25.76,0,947.5,1.66,0.9475,999,5122,-8.14
5,78.14,80.18,10.57,414,-0.19,0.414,999,5123,8.22
41,240.87,333.28,21.08,1,-4.38,0.001,999,5124,-153.29
3,55.15,55.69,7.83,501,-0.07,0.501,999,5125,3.24
1,25.76,25.76,0,167.5,-0.85,0.1675,999,5127,-8.14
0,0,0,0,500.5,NA,0.5005,999,5128,-24.89
1,25.76,25.76,0,927.5,1.59,0.9275,999,5130,-8.14
2,26.42,42.16,5.89,4,-2.67,0.004,999,5131,-16.49
0,0,0,0,500.5,NA,0.5005,999,5132,-24.89
2,40.44,41.71,5.77,297,-0.22,0.297,999,5133,-2.46
9,105.13,121.33,13.63,114,-1.19,0.114,999,5159,-0.81
4,64.02,68.76,9.59,311,-0.49,0.311,999,5160,3.11
22,190.36,223.35,18.5,32,-1.78,0.032,999,5161,-32.67
10,112.87,130.64,14.67,122,-1.21,0.122,999,5162,-2.09
9,105.03,121.18,13.9,133,-1.16,0.133,999,5163,-0.92
3,56.1,56.23,7.68,481,-0.02,0.481,999,5164,4.19
5,76.04,80.6,10.11,321,-0.45,0.321,999,5165,6.12
8,95.89,111.92,13.09,122,-1.22,0.122,999,5166,-1.05
4,71.37,68.84,8.98,617,0.28,0.617,999,5167,10.45
1,25.76,25.76,0,511,-0.13,0.511,999,5168,-8.14
0,0,0,0,500.5,NA,0.5005,999,5169,-24.89
5,81.35,80.23,10.69,518,0.1,0.518,999,5171,11.42
4,87.67,69.23,9.42,974,1.96,0.974,999,5172,26.76
2,26.42,42.16,5.89,4,-2.67,0.004,999,5173,-16.49
4,56.52,68.31,9.66,123,-1.22,0.123,999,5175,-4.4
6,76.59,91.14,11.4,114,-1.28,0.114,999,5202,-2.34
15,150.11,172.03,15.96,88,-1.37,0.088,999,5203,-9.88
15,160.1,172.82,16.52,218,-0.77,0.218,999,5204,0.11
9,108.07,121.07,14.26,173,-0.91,0.173,999,5205,2.12
3,55.15,55.93,7.91,485,-0.1,0.485,999,5206,3.24
3,61.91,56.26,7.75,723,0.73,0.723,999,5207,10
6,74.57,91.62,11.78,83,-1.45,0.083,999,5208,-4.36
18,153,193.6,17.46,8,-2.33,0.008,999,5209,-34.01
10,120.22,130.08,14.31,254,-0.69,0.254,999,5210,5.27
2,43.16,41.65,6,596,0.25,0.596,999,5211,0.26
3,52.56,55.85,8.29,381,-0.4,0.381,999,5212,0.65
1,25.76,25.76,0,109.5,-1.09,0.1095,999,5214,-8.14
5,80.59,80.6,9.97,487,0,0.487,999,5215,10.66
0,0,0,0,500.5,NA,0.5005,999,5216,-24.89
7,111.69,101.52,12.33,798,0.83,0.798,999,5217,23.76
1,25.76,25.76,0,34,-1.63,0.034,999,5218,-8.14
7,100.81,102.21,12.42,441,-0.11,0.441,999,5245,12.88
9,107.87,122.39,13.89,140,-1.05,0.14,999,5246,1.92
8,89.62,111.56,13.06,49,-1.68,0.049,999,5247,-7.33
7,90.69,102.26,12.1,178,-0.96,0.178,999,5248,2.75
5,71.38,80.47,10.72,201,-0.85,0.201,999,5249,1.46
4,54.21,67.91,9.48,81,-1.44,0.081,999,5250,-6.71
10,90.01,130.57,14.35,2,-2.83,0.002,999,5251,-24.94
19,161.27,201.15,17.48,10,-2.28,0.01,999,5252,-34.75
17,159.1,186.51,17.07,57,-1.61,0.057,999,5253,-18.9
1,25.76,25.76,0,861,1.02,0.861,999,5254,-8.14
10,142.49,130.76,14.24,794,0.82,0.794,999,5255,27.53
1,25.76,25.76,0,258.5,-0.61,0.2585,999,5256,-8.14
4,69.44,68.95,9.35,484,0.05,0.484,999,5257,8.52
0,0,0,0,500.5,NA,0.5005,999,5259,-24.89
9,117.17,121.56,13.31,367,-0.33,0.367,999,5260,11.22
5,71.24,80.82,10.33,169,-0.93,0.169,999,5289,1.31
12,129.63,147.81,15.16,122,-1.2,0.122,999,5290,-3.34
2,36.4,42.09,5.77,140,-0.99,0.14,999,5291,-6.5
11,140.09,139.02,15.24,532,0.07,0.532,999,5292,16.13
8,81.23,111.26,12.87,10,-2.33,0.01,999,5293,-15.71
28,198.37,259.49,19.45,1,-3.14,0.001,999,5294,-78.71
52,305.6,388.21,21.68,1,-3.81,0.001,999,5295,-187.64
25,218.62,242.25,19.43,122,-1.22,0.122,999,5296,-31.43
10,127.74,130.53,14.7,426,-0.19,0.426,999,5297,12.78
2,44.51,42.32,5.84,580,0.38,0.58,999,5298,1.61
6,93.58,91.58,11.55,556,0.17,0.556,999,5299,14.65
2,44.51,42.24,5.65,587,0.4,0.587,999,5300,1.61
2,37.35,42.03,5.61,159,-0.84,0.159,999,5302,-5.56
11,123.93,139.42,15,167,-1.03,0.167,999,5332,-0.03
5,81.95,80.63,10.42,544,0.13,0.544,999,5333,12.03
11,127.67,139.52,14.76,206,-0.8,0.206,999,5334,3.71
9,98.01,121.32,13.89,41,-1.68,0.041,999,5335,-7.94
15,137.79,172.13,16.88,23,-2.03,0.023,999,5336,-22.2
19,139.52,200.63,18.22,2,-3.35,0.002,999,5337,-56.5
27,201.54,254.34,19.9,5,-2.65,0.005,999,5338,-66.53
10,107.52,130.03,14.16,57,-1.59,0.057,999,5339,-7.43
3,45.56,55.97,7.76,101,-1.34,0.101,999,5340,-6.35
0,0,0,0,500.5,NA,0.5005,999,5341,-24.89
2,37.35,42.03,5.61,159,-0.84,0.159,999,5342,-5.56
3,63.1,56.07,7.46,848,0.94,0.848,999,5344,11.19
6,90.01,91.68,11.31,441,-0.15,0.441,999,5345,11.08
20,204.15,208.67,18.01,394,-0.25,0.394,999,5375,-0.87
3,47.33,56.1,7.48,127,-1.17,0.127,999,5376,-4.58
10,108.71,130.72,14.83,78,-1.48,0.078,999,5377,-6.25
7,99.27,102.22,12.53,407,-0.24,0.407,999,5378,11.33
11,133.29,138.57,14.4,359,-0.37,0.359,999,5379,9.33
29,195.52,266.39,19.51,1,-3.63,0.001,999,5380,-90.56
6,103.16,91.34,11.74,845,1.01,0.845,999,5381,24.23
6,90.32,90.59,11.44,491,-0.02,0.491,999,5382,11.39
2,40.44,42.21,5.54,286,-0.32,0.286,999,5383,-2.46
5,68.36,79.66,10.68,144,-1.06,0.144,999,5384,-1.56
0,0,0,0,500.5,NA,0.5005,999,5385,-24.89
2,37.35,42.03,5.61,159,-0.84,0.159,999,5387,-5.56
15,158.95,172.13,16.34,207,-0.81,0.207,999,5417,-1.03
11,115.83,139.19,14.62,63,-1.6,0.063,999,5418,-8.13
13,170,155.76,15.68,818,0.91,0.818,999,5419,28.02
6,79.09,91.06,11.46,143,-1.04,0.143,999,5420,0.16
3,55.07,55.85,8.03,478,-0.1,0.478,999,5421,3.16
7,86.11,102.54,12.31,93,-1.33,0.093,999,5422,-1.82
15,171.39,171.86,16.75,488,-0.03,0.488,999,5423,11.4
8,104.73,111.27,13.24,314,-0.49,0.314,999,5424,7.79
2,40.44,42.21,5.54,286,-0.32,0.286,999,5425,-2.46
1,25.76,25.76,0,314,-0.49,0.314,999,5426,-8.14
3,52.03,55.75,7.69,297,-0.48,0.297,999,5430,0.12
15,155.52,172.78,16.23,136,-1.06,0.136,999,5460,-4.47
1,25.76,25.76,0,475,-0.13,0.475,999,5461,-8.14
1,25.76,25.76,0,475,-0.13,0.475,999,5462,-8.14
4,71.11,68.32,9.32,606,0.3,0.606,999,5463,10.19
9,134.75,120.72,13.96,851,1,0.851,999,5464,28.81
10,124.2,130.78,14.27,325,-0.46,0.325,999,5465,9.24
5,69.1,80.64,10.75,149,-1.07,0.149,999,5466,-0.82
4,50.85,68.51,9.43,34,-1.87,0.034,999,5467,-10.07
2,40.44,42.21,5.54,286,-0.32,0.286,999,5468,-2.46
8,121.41,112.63,13.02,743,0.67,0.743,999,5469,24.47
1,25.76,25.76,0,193.5,-0.74,0.1935,999,5470,-8.14
1,25.76,25.76,0,947,1.69,0.947,999,5471,-8.14
4,65.55,68.76,9.39,348,-0.34,0.348,999,5502,4.63
1,25.76,25.76,0,109.5,-1.09,0.1095,999,5503,-8.14
1,25.76,25.76,0,109.5,-1.09,0.1095,999,5504,-8.14
11,105.14,139.52,14.58,9,-2.36,0.009,999,5505,-18.82
2,40.44,42.04,5.7,419,-0.28,0.419,999,5506,-2.46
4,50.61,68.8,9.59,30,-1.9,0.03,999,5507,-10.31
1,25.76,25.76,0,109.5,-1.17,0.1095,999,5508,-8.14
7,103.48,101.89,12.69,546,0.13,0.546,999,5509,15.55
3,51.31,56.18,7.94,245,-0.61,0.245,999,5510,-0.6
2,44.51,42.32,5.71,607,0.38,0.607,999,5511,1.61
2,44.51,41.94,5.79,610,0.44,0.61,999,5514,1.61
16,175.37,179.88,16.4,381,-0.28,0.381,999,5545,6.37
11,147.45,138.81,14.42,721,0.6,0.721,999,5546,23.49
1,25.76,25.76,0,109.5,-1.09,0.1095,999,5547,-8.14
9,148.61,121.1,13.88,969,1.98,0.969,999,5548,42.66
5,60.41,80.7,10.7,26,-1.9,0.026,999,5549,-9.52
5,88.72,80.55,10.53,780,0.78,0.78,999,5550,18.79
13,166.33,156.47,15.67,736,0.63,0.736,999,5551,24.35
9,129.08,121.94,13.51,706,0.53,0.706,999,5552,23.14
17,207.47,186.97,17.18,890,1.19,0.89,999,5554,29.46
5,87.71,80.6,10.69,741,0.67,0.741,999,5555,17.79
3,59.2,56.12,8.13,602,0.38,0.602,999,5556,7.29
3,57.85,55.86,7.64,576,0.26,0.576,999,5557,5.94
6,97.64,91.82,11.74,694,0.5,0.694,999,5587,18.71
10,115.42,130.61,14.07,146,-1.08,0.146,999,5588,0.46
9,133.21,121.81,13.96,777,0.82,0.777,999,5589,27.27
8,125.47,112.21,13.56,826,0.98,0.826,999,5590,28.53
4,87.67,68.51,9.24,982,2.07,0.982,999,5591,26.76
10,142.15,130.56,14.33,796,0.81,0.796,999,5592,27.19
6,87.14,91.21,11.58,345,-0.35,0.345,999,5593,8.21
7,104.22,102.13,12.26,552,0.17,0.552,999,5594,16.28
1,25.76,25.76,0,255.5,-0.55,0.2555,999,5595,-8.14
3,50.65,56.11,8.06,240,-0.68,0.24,999,5597,-1.26
4,73.5,68.64,9.55,682,0.51,0.682,999,5598,12.58
5,88.19,80.31,10.56,766,0.75,0.766,999,5599,18.26
9,127.41,121.43,13.82,668,0.43,0.668,999,5630,21.46
6,89.88,91.22,11.56,462,-0.12,0.462,999,5631,10.95
23,243.13,229.52,18.37,767,0.74,0.767,999,5632,11.09
27,246.23,254.39,18.97,339,-0.43,0.339,999,5633,-21.84
11,148.77,139.44,14.79,724,0.63,0.724,999,5634,24.81
10,133.87,130.79,14.64,570,0.21,0.57,999,5635,18.91
7,116.04,101.72,12.26,893,1.17,0.893,999,5636,28.1
2,43.16,42.25,5.6,552.5,0.16,0.5525,999,5637,0.26
3,46.59,56.06,7.93,117,-1.19,0.117,999,5638,-5.32
2,44.51,42.24,5.65,587,0.4,0.587,999,5639,1.61
1,25.76,25.76,0,947,1.69,0.947,999,5640,-8.14
2,44.51,41.94,5.79,610,0.44,0.61,999,5641,1.61
9,123.42,121.37,13.73,546,0.15,0.546,999,5673,17.47
29,268.92,266.56,19.69,525,0.12,0.525,999,5674,-17.16
23,221.08,229.92,18.3,310,-0.48,0.31,999,5675,-10.96
17,223.51,187.3,17.5,984,2.07,0.984,999,5676,45.51
